clip_stem,vid,match,set_id,rally,ball_round,raw_type_en,player_side,split_v2,split_bst_baseline,aroundhead,backhand,frame_num,shuttle_start_f,shuttle_end_f,clip_start_frame,clip_end_frame
1_1_3_24,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,24,smash,Top,train,train,0.0,0.0,12875,12847,12892,12248,13017
1_1_3_25,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,25,return_net,Bottom,train,train,0.0,0.0,12886,12875,12919,12248,13017
1_1_3_26,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,26,push,Top,train,train,0.0,0.0,12913,12886,12948,12248,13017
1_1_3_27,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,27,passive_drop,Bottom,train,train,0.0,1.0,12942,12913,12954,12248,13017
1_1_4_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,4,1,short_service,Top,train,train,0.0,1.0,13434,13422,13462,13384,13598
1_1_4_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,4,2,net_shot,Bottom,train,train,0.0,1.0,13456,13434,13484,13384,13598
1_1_4_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,4,3,net_shot,Top,train,train,0.0,0.0,13478,13456,13508,13384,13598
1_1_4_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,4,4,net_shot,Bottom,train,train,0.0,0.0,13502,13478,13522,13384,13598
1_1_4_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,4,5,rush,Top,train,train,0.0,0.0,13516,13502,13529,13384,13598
1_1_4_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,4,6,return_net,Bottom,train,train,0.0,1.0,13523,13516,13535,13384,13598
1_1_5_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,1,short_service,Bottom,train,train,0.0,1.0,13923,13911,13953,13873,14320
1_1_5_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,2,push,Top,train,train,0.0,1.0,13947,13923,13976,13873,14320
1_1_5_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,3,wrist_smash,Bottom,train,train,0.0,0.0,13970,13947,13985,13873,14320
1_1_5_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,4,defensive_return_drive,Top,train,train,0.0,0.0,13979,13970,14007,13873,14320
1_1_5_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,5,smash,Bottom,train,train,1.0,0.0,14001,13979,14022,13873,14320
1_1_5_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,6,defensive_return_lob,Top,train,train,0.0,1.0,14016,14001,14050,13873,14320
1_1_5_7,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,7,clear,Bottom,train,train,0.0,0.0,14044,14016,14076,13873,14320
1_1_5_8,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,8,smash,Top,train,train,0.0,0.0,14070,14044,14089,13873,14320
1_1_5_9,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,9,return_net,Bottom,train,train,0.0,0.0,14083,14070,14113,13873,14320
1_1_5_10,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,10,lob,Top,train,train,0.0,0.0,14107,14083,14142,13873,14320
1_1_5_11,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,11,clear,Bottom,train,train,0.0,0.0,14136,14107,14176,13873,14320
1_1_5_12,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,12,passive_drop,Top,train,train,0.0,1.0,14170,14136,14194,13873,14320
1_1_5_13,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,13,push,Bottom,train,train,0.0,1.0,14188,14170,14214,13873,14320
1_1_5_14,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,14,wrist_smash,Top,train,train,1.0,0.0,14208,14188,14230,13873,14320
1_1_5_15,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,15,return_net,Bottom,train,train,0.0,0.0,14224,14208,14251,13873,14320
1_1_5_16,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,16,rush,Top,train,train,0.0,0.0,14245,14224,14257,13873,14320
1_1_6_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,6,1,long_service,Top,train,train,0.0,1.0,14943,14931,14975,14893,15110
1_1_6_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,6,2,wrist_smash,Bottom,train,train,1.0,0.0,14969,14943,14988,14893,15110
1_1_6_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,6,3,defensive_return_lob,Top,train,train,0.0,1.0,14982,14969,15021,14893,15110
1_1_6_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,6,4,wrist_smash,Bottom,train,train,0.0,0.0,15015,14982,15041,14893,15110
1_1_6_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,6,5,cross_court_net_shot,Top,train,train,0.0,1.0,15035,15015,15047,14893,15110
1_1_7_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,7,1,short_service,Bottom,train,train,0.0,1.0,15374,15362,15393,15324,15508
1_1_7_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,7,2,push,Top,train,train,0.0,1.0,15387,15374,15422,15324,15508
1_1_7_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,7,3,passive_drop,Bottom,train,train,0.0,0.0,15416,15387,15439,15324,15508
1_1_7_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,7,4,drop,Top,train,train,0.0,0.0,15433,15416,15445,15324,15508
1_1_8_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,8,1,short_service,Bottom,train,train,0.0,1.0,15804,15792,15833,15754,15956
1_1_8_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,8,2,drive,Top,train,train,0.0,1.0,15827,15804,15846,15754,15956
1_1_8_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,8,3,drive,Bottom,train,train,0.0,0.0,15840,15827,15856,15754,15956
1_1_8_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,8,4,drive,Top,train,train,0.0,0.0,15850,15840,15867,15754,15956
1_1_8_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,8,5,return_net,Bottom,train,train,0.0,1.0,15861,15850,15887,15754,15956
1_1_8_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,8,6,push,Top,train,train,0.0,1.0,15881,15861,15893,15754,15956
1_1_9_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,1,short_service,Bottom,train,train,0.0,1.0,16253,16241,16276,16203,16874
1_1_9_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,2,net_shot,Top,train,train,0.0,1.0,16270,16253,16298,16203,16874
1_1_9_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,3,net_shot,Bottom,train,train,0.0,1.0,16292,16270,16319,16203,16874
1_1_9_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,4,lob,Top,train,train,0.0,0.0,16313,16292,16356,16203,16874
1_1_9_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,5,drop,Bottom,train,train,0.0,0.0,16359,16322,16379,16203,16874
1_1_9_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,6,return_net,Top,train,train,0.0,0.0,16373,16359,16400,16203,16874
1_1_9_7,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,7,lob,Bottom,train,train,0.0,1.0,16394,16373,16433,16203,16874
1_1_9_8,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,8,clear,Top,train,train,0.0,0.0,16427,16394,16467,16203,16874
1_1_9_9,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,9,wrist_smash,Bottom,train,train,0.0,0.0,16461,16427,16483,16203,16874
1_1_9_10,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,10,return_net,Top,train,train,0.0,0.0,16477,16461,16506,16203,16874
1_1_9_11,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,11,lob,Bottom,train,train,0.0,0.0,16500,16477,16541,16203,16874
1_1_9_12,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,12,clear,Top,train,train,0.0,0.0,16535,16500,16577,16203,16874
1_1_9_13,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,13,passive_drop,Bottom,train,train,0.0,0.0,16571,16535,16594,16203,16874
1_1_9_14,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,14,lob,Top,train,train,0.0,0.0,16588,16571,16622,16203,16874
1_1_9_15,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,15,drop,Bottom,train,train,0.0,0.0,16616,16588,16643,16203,16874
1_1_9_16,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,16,cross_court_net_shot,Top,train,train,0.0,0.0,16637,16616,16663,16203,16874
1_1_9_17,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,17,lob,Bottom,train,train,0.0,1.0,16657,16637,16696,16203,16874
1_1_9_18,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,18,clear,Top,train,train,0.0,0.0,16690,16657,16732,16203,16874
1_1_9_19,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,19,drop,Bottom,train,train,0.0,0.0,16726,16690,16750,16203,16874
1_1_9_20,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,20,net_shot,Top,train,train,0.0,0.0,16744,16726,16778,16203,16874
1_1_9_21,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,21,lob,Bottom,train,train,0.0,0.0,16772,16744,16805,16203,16874
1_1_9_22,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,22,smash,Top,train,train,0.0,0.0,16799,16772,16811,16203,16874
1_1_10_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,1,short_service,Top,train,train,0.0,1.0,17423,17411,17453,17373,17671
1_1_10_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,2,lob,Bottom,train,train,0.0,1.0,17447,17423,17483,17373,17671
1_1_10_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,3,drop,Top,train,train,0.0,0.0,17477,17447,17503,17373,17671
1_1_10_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,4,net_shot,Bottom,train,train,0.0,1.0,17497,17477,17524,17373,17671
1_1_10_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,5,push,Top,train,train,0.0,1.0,17518,17497,17554,17373,17671
1_1_10_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,6,passive_drop,Bottom,train,train,0.0,1.0,17548,17518,17564,17373,17671
1_1_10_7,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,7,drive,Top,train,train,0.0,1.0,17558,17548,17579,17373,17671
1_1_10_8,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,8,return_net,Bottom,train,train,0.0,0.0,17573,17558,17602,17373,17671
1_1_10_9,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,9,net_shot,Top,train,train,0.0,0.0,17596,17573,17608,17373,17671
1_1_11_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,1,short_service,Bottom,train,train,0.0,1.0,17990,17978,18007,17940,19137
1_1_11_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,2,push,Top,train,train,0.0,1.0,18001,17990,18038,17940,19137
1_1_11_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,3,passive_drop,Bottom,train,train,0.0,0.0,18032,18001,18054,17940,19137
1_1_11_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,4,return_net,Top,train,train,0.0,0.0,18048,18032,18081,17940,19137
1_1_11_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,5,net_shot,Bottom,train,train,0.0,0.0,18075,18048,18106,17940,19137
1_1_11_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,6,net_shot,Top,train,train,0.0,0.0,18100,18075,18127,17940,19137
1_1_11_7,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,7,lob,Bottom,train,train,0.0,0.0,18121,18100,18164,17940,19137
1_1_11_8,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,8,clear,Top,train,train,0.0,0.0,18160,18123,18203,17940,19137
1_1_11_9,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,9,passive_drop,Bottom,train,train,0.0,0.0,18197,18160,18219,17940,19137
1_1_11_10,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,10,push,Top,train,train,0.0,0.0,18213,18197,18252,17940,19137
1_1_11_11,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,11,passive_drop,Bottom,train,train,0.0,0.0,18246,18213,18272,17940,19137
1_1_11_12,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,12,return_net,Top,train,train,0.0,0.0,18266,18246,18292,17940,19137
1_1_11_13,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,13,net_shot,Bottom,train,train,0.0,0.0,18286,18266,18314,17940,19137
1_1_11_14,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,14,push,Top,train,train,0.0,0.0,18308,18286,18337,17940,19137
1_1_11_15,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,15,passive_drop,Bottom,train,train,0.0,0.0,18331,18308,18356,17940,19137
1_1_11_16,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,16,drive,Top,train,train,0.0,0.0,18350,18331,18370,17940,19137
1_1_11_17,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,17,return_net,Bottom,train,train,0.0,1.0,18364,18350,18388,17940,19137
1_1_11_18,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,18,push,Top,train,train,0.0,1.0,18382,18364,18421,17940,19137
1_1_11_19,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,19,clear,Bottom,train,train,0.0,0.0,18415,18382,18448,17940,19137
1_1_11_20,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,20,clear,Top,train,train,1.0,0.0,18442,18415,18474,17940,19137
1_1_11_21,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,21,wrist_smash,Bottom,train,train,1.0,0.0,18468,18442,18492,17940,19137
1_1_11_22,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,22,cross_court_net_shot,Top,train,train,0.0,1.0,18486,18468,18514,17940,19137
1_1_11_23,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,23,return_net,Bottom,train,train,0.0,0.0,18508,18486,18534,17940,19137
1_1_11_24,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,24,lob,Top,train,train,0.0,1.0,18528,18508,18566,17940,19137
1_1_11_25,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,25,clear,Bottom,train,train,0.0,0.0,18560,18528,18598,17940,19137
1_1_11_26,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,26,clear,Top,train,train,0.0,0.0,18592,18560,18635,17940,19137
1_1_11_27,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,27,drop,Bottom,train,train,0.0,0.0,18629,18592,18657,17940,19137
1_1_11_28,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,28,net_shot,Top,train,train,0.0,0.0,18651,18629,18682,17940,19137
1_1_11_29,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,29,lob,Bottom,train,train,0.0,0.0,18676,18651,18719,17940,19137
1_1_11_30,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,30,clear,Top,train,train,1.0,0.0,18716,18679,18752,17940,19137
1_1_11_31,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,31,clear,Bottom,train,train,0.0,0.0,18746,18716,18783,17940,19137
1_1_11_32,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,32,wrist_smash,Top,train,train,0.0,0.0,18777,18746,18803,17940,19137
1_1_11_33,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,33,return_net,Bottom,train,train,0.0,1.0,18797,18777,18829,17940,19137
1_1_11_34,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,34,lob,Top,train,train,0.0,1.0,18823,18797,18860,17940,19137
1_1_11_35,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,35,clear,Bottom,train,train,0.0,0.0,18854,18823,18894,17940,19137
1_1_11_36,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,36,clear,Top,train,train,0.0,0.0,18888,18854,18931,17940,19137
1_1_11_37,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,37,clear,Bottom,train,train,0.0,0.0,18925,18888,18968,17940,19137
1_1_11_38,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,38,clear,Top,train,train,0.0,0.0,18962,18925,18996,17940,19137
1_1_11_39,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,39,clear,Bottom,train,train,0.0,0.0,18990,18962,19031,17940,19137
1_1_11_40,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,40,clear,Top,train,train,0.0,0.0,19025,18990,19068,17940,19137
1_1_11_41,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,41,passive_drop,Bottom,train,train,0.0,0.0,19062,19025,19074,17940,19137
1_1_12_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,1,short_service,Top,train,train,0.0,1.0,19583,19571,19595,19533,20535
1_1_12_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,2,lob,Bottom,train,train,0.0,1.0,19589,19583,19625,19533,20535
1_1_12_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,3,clear,Top,train,train,0.0,0.0,19619,19589,19660,19533,20535
1_1_12_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,4,wrist_smash,Bottom,train,train,0.0,0.0,19654,19619,19674,19533,20535
